sample_id,seed,observation_id,x,y,group
sample_1,710,N0207,1.67,3.354,right_branch
sample_1,710,N0208,0.983,-1.02,right_branch
sample_1,710,N0209,-2.874,6.629,left_branch
sample_1,710,N0210,-2.823,7.998,left_branch
sample_1,710,N0211,-1.827,1.852,left_branch
sample_1,710,N0212,-1.575,2.343,left_branch
sample_1,710,N0213,-1.095,2.02,left_branch
sample_1,710,N0214,1.592,2.678,right_branch
sample_1,710,N0215,-1.341,1.433,left_branch
sample_1,710,N0216,-0.861,1.471,left_branch
sample_1,710,N0217,2.277,2.927,right_branch
sample_1,710,N0218,2.136,4.019,right_branch
sample_1,710,N0219,3.291,9.819,right_branch
sample_1,710,N0220,-3.566,15.548,left_branch
sample_1,710,N0221,2.549,6.788,right_branch
sample_1,710,N0222,-1.859,1.853,left_branch
sample_1,710,N0223,0.542,-2.595,right_branch
sample_1,710,N0224,1.96,1.409,right_branch
sample_1,710,N0225,1.506,3.031,right_branch
sample_1,710,N0226,2.884,8.06,right_branch
sample_1,710,N0227,-2.675,6.986,left_branch
sample_1,710,N0228,3.998,17.557,right_branch
sample_1,710,N0229,-1.081,2.66,left_branch
sample_1,710,N0230,1.344,0.812,right_branch
sample_1,710,N0231,-2.133,4.559,left_branch
sample_1,710,N0232,0.552,-0.603,right_branch
sample_1,710,N0233,2.15,3.975,right_branch
sample_1,710,N0234,1.561,2.219,right_branch
sample_1,710,N0235,-3.562,11.225,left_branch
sample_1,710,N0236,-3.961,14.709,left_branch
sample_1,710,N0237,-0.854,-1.13,left_branch
sample_1,710,N0238,-2.709,7.796,left_branch
sample_1,710,N0239,0.675,0.986,right_branch
sample_1,710,N0240,-1.547,2.915,left_branch
sample_1,710,N0241,2.204,5.147,right_branch
sample_1,710,N0242,1.291,1.795,right_branch
sample_1,710,N0243,0.162,1.353,right_branch
sample_1,710,N0244,3.914,13.293,right_branch
sample_1,710,N0245,0.9,0.203,right_branch
sample_1,710,N0246,-0.751,1.24,left_branch
sample_1,710,N0247,3.81,14.39,right_branch
sample_1,710,N0248,-3.716,16.407,left_branch
sample_1,710,N0249,-2.264,3.848,left_branch
sample_1,710,N0250,-0.063,1.404,left_branch
sample_1,710,N0251,-1.659,1.254,left_branch
sample_1,710,N0252,3.88,15.692,right_branch
sample_1,710,N0253,1.324,1.478,right_branch
sample_1,710,N0254,-0.831,2.399,left_branch
sample_1,710,N0255,-3.024,9.832,left_branch
sample_1,710,N0256,1.795,4.115,right_branch
sample_1,710,N0257,-1.766,2.537,left_branch
sample_1,710,N0258,2.346,7.958,right_branch
sample_1,710,N0259,-1.518,3.743,left_branch
sample_1,710,N0260,0.224,-1.323,right_branch
