sample_id,seed,part_id,machine,length_mm,deviation_from_target,within_spec
sample_1,706,P0349,M2,53.01,3.01,False
sample_1,706,P0350,M2,49.738,-0.262,True
sample_1,706,P0351,M2,49.457,-0.543,True
sample_1,706,P0352,M2,49.507,-0.493,True
sample_1,706,P0353,M2,50.621,0.621,True
sample_1,706,P0354,M2,49.506,-0.494,True
sample_1,706,P0355,M2,51.37,1.37,True
sample_1,706,P0356,M2,50.49,0.49,True
sample_1,706,P0357,M2,50.537,0.537,True
sample_1,706,P0358,M2,50.03,0.03,True
sample_1,706,P0359,M2,51.278,1.278,True
sample_1,706,P0360,M2,50.773,0.773,True
sample_1,706,P0361,M3,48.956,-1.044,True
sample_1,706,P0362,M3,49.018,-0.982,True
sample_1,706,P0363,M3,50.011,0.011,True
sample_1,706,P0364,M3,49.74,-0.26,True
sample_1,706,P0365,M3,50.19,0.19,True
sample_1,706,P0366,M3,48.725,-1.275,True
sample_1,706,P0367,M3,49.702,-0.298,True
sample_1,706,P0368,M3,49.368,-0.632,True
sample_1,706,P0369,M3,50.221,0.221,True
sample_1,706,P0370,M3,49.26,-0.74,True
sample_1,706,P0371,M3,48.831,-1.169,True
sample_1,706,P0372,M3,50.143,0.143,True
sample_1,706,P0373,M3,48.383,-1.617,False
sample_1,706,P0374,M3,50.151,0.151,True
sample_1,706,P0375,M3,49.331,-0.669,True
sample_1,706,P0376,M3,49.296,-0.704,True
sample_1,706,P0377,M3,48.288,-1.712,False
sample_1,706,P0378,M3,48.79,-1.21,True
sample_1,706,P0379,M3,49.824,-0.176,True
sample_1,706,P0380,M3,49.37,-0.63,True
sample_1,706,P0381,M3,49.116,-0.884,True
sample_1,706,P0382,M3,50.016,0.016,True
sample_1,706,P0383,M3,49.776,-0.224,True
sample_1,706,P0384,M3,49.391,-0.609,True
sample_1,706,P0385,M3,50.546,0.546,True
sample_1,706,P0386,M3,49.743,-0.257,True
sample_1,706,P0387,M3,49.612,-0.388,True
sample_1,706,P0388,M3,49.18,-0.82,True
sample_1,706,P0389,M3,49.303,-0.697,True
sample_1,706,P0390,M3,49.394,-0.606,True
sample_1,706,P0391,M3,49.853,-0.147,True
sample_1,706,P0392,M3,50.192,0.192,True
sample_1,706,P0393,M3,48.891,-1.109,True
sample_1,706,P0394,M3,50.143,0.143,True
sample_1,706,P0395,M3,49.839,-0.161,True
sample_1,706,P0396,M3,49.491,-0.509,True
sample_1,706,P0397,M3,49.607,-0.393,True
sample_1,706,P0398,M3,50.436,0.436,True
sample_1,706,P0399,M3,50.347,0.347,True
sample_1,706,P0400,M3,50.748,0.748,True
sample_1,706,P0401,M3,50.449,0.449,True
sample_1,706,P0402,M3,49.622,-0.378,True
sample_1,706,P0403,M3,49.948,-0.052,True
sample_1,706,P0404,M3,51.498,1.498,True
sample_1,706,P0405,M3,49.237,-0.763,True
sample_1,706,P0406,M3,50.361,0.361,True
sample_1,706,P0407,M3,49.246,-0.754,True
sample_1,706,P0408,M3,50.956,0.956,True
sample_1,706,P0409,M3,49.277,-0.723,True
sample_1,706,P0410,M3,50.051,0.051,True
sample_1,706,P0411,M3,48.911,-1.089,True
sample_1,706,P0412,M3,50.037,0.037,True
sample_1,706,P0413,M3,48.742,-1.258,True
sample_1,706,P0414,M3,50.569,0.569,True
sample_1,706,P0415,M3,50.132,0.132,True
sample_1,706,P0416,M3,48.868,-1.132,True
sample_1,706,P0417,M3,49.544,-0.456,True
sample_1,706,P0418,M3,50.296,0.296,True
sample_1,706,P0419,M3,49.895,-0.105,True
sample_1,706,P0420,M3,48.659,-1.341,True
sample_1,706,P0421,M3,49.854,-0.146,True
sample_1,706,P0422,M3,50.112,0.112,True
sample_1,706,P0423,M3,50.322,0.322,True
sample_1,706,P0424,M3,50.21,0.21,True
sample_1,706,P0425,M3,49.226,-0.774,True
sample_1,706,P0426,M3,49.605,-0.395,True
sample_1,706,P0427,M3,48.489,-1.511,False
sample_1,706,P0428,M3,49.852,-0.148,True
sample_1,706,P0429,M3,48.694,-1.306,True
sample_1,706,P0430,M3,50.378,0.378,True
sample_1,706,P0431,M3,48.666,-1.334,True
sample_1,706,P0432,M3,49.37,-0.63,True
sample_1,706,P0433,M3,49.712,-0.288,True
sample_1,706,P0434,M3,50.78,0.78,True
sample_1,706,P0435,M3,49.614,-0.386,True
sample_1,706,P0436,M3,50.623,0.623,True
sample_1,706,P0437,M3,49.866,-0.134,True
sample_1,706,P0438,M3,49.725,-0.275,True
sample_1,706,P0439,M3,49.254,-0.746,True
sample_1,706,P0440,M3,50.511,0.511,True
sample_1,706,P0441,M3,49.441,-0.559,True
sample_1,706,P0442,M3,49.109,-0.891,True
sample_1,706,P0443,M3,49.311,-0.689,True
sample_1,706,P0444,M3,49.601,-0.399,True
sample_1,706,P0445,M3,49.113,-0.887,True
sample_1,706,P0446,M3,48.733,-1.267,True
sample_1,706,P0447,M3,49.497,-0.503,True
sample_1,706,P0448,M3,49.673,-0.327,True
sample_1,706,P0449,M3,48.574,-1.426,True
sample_1,706,P0450,M3,49.762,-0.238,True
sample_1,706,P0451,M3,50.365,0.365,True
sample_1,706,P0452,M3,50.559,0.559,True
sample_1,706,P0453,M3,48.846,-1.154,True
sample_1,706,P0454,M3,51.219,1.219,True
sample_1,706,P0455,M3,50.121,0.121,True
sample_1,706,P0456,M3,49.514,-0.486,True
sample_1,706,P0457,M3,49.542,-0.458,True
sample_1,706,P0458,M3,50.221,0.221,True
sample_1,706,P0459,M3,50.102,0.102,True
sample_1,706,P0460,M3,50.518,0.518,True
sample_1,706,P0461,M3,49.124,-0.876,True
sample_1,706,P0462,M3,50.247,0.247,True
sample_1,706,P0463,M3,50.49,0.49,True
sample_1,706,P0464,M3,49.948,-0.052,True
sample_1,706,P0465,M3,49.151,-0.849,True
sample_1,706,P0466,M3,49.85,-0.15,True
sample_1,706,P0467,M3,50.51,0.51,True
sample_1,706,P0468,M3,49.816,-0.184,True
sample_1,706,P0469,M3,49.638,-0.362,True
sample_1,706,P0470,M3,49.351,-0.649,True
sample_1,706,P0471,M3,49.26,-0.74,True
sample_1,706,P0472,M3,49.672,-0.328,True
sample_1,706,P0473,M3,49.84,-0.16,True
sample_1,706,P0474,M3,50.494,0.494,True
sample_1,706,P0475,M3,49.216,-0.784,True
sample_1,706,P0476,M3,49.031,-0.969,True
sample_1,706,P0477,M3,49.712,-0.288,True
sample_1,706,P0478,M3,49.976,-0.024,True
sample_1,706,P0479,M3,48.953,-1.047,True
sample_1,706,P0480,M3,50.252,0.252,True
sample_1,706,P0481,M3,50.675,0.675,True
sample_1,706,P0482,M3,50.253,0.253,True
sample_1,706,P0483,M3,51.156,1.156,True
sample_1,706,P0484,M3,50.768,0.768,True
sample_1,706,P0485,M3,48.437,-1.563,False
sample_1,706,P0486,M3,50.677,0.677,True
sample_1,706,P0487,M3,50.059,0.059,True
sample_1,706,P0488,M3,49.481,-0.519,True
sample_1,706,P0489,M3,49.965,-0.035,True
sample_1,706,P0490,M3,50.022,0.022,True
sample_1,706,P0491,M3,49.035,-0.965,True
sample_1,706,P0492,M3,49.669,-0.331,True
sample_1,706,P0493,M3,49.55,-0.45,True
sample_1,706,P0494,M3,49.548,-0.452,True
sample_1,706,P0495,M3,49.61,-0.39,True
sample_1,706,P0496,M3,49.089,-0.911,True
sample_1,706,P0497,M3,49.604,-0.396,True
sample_1,706,P0498,M3,49.503,-0.497,True
sample_1,706,P0499,M3,48.89,-1.11,True
sample_1,706,P0500,M3,49.162,-0.838,True
sample_1,706,P0501,M3,49.304,-0.696,True
sample_1,706,P0502,M3,50.401,0.401,True
sample_1,706,P0503,M3,49.535,-0.465,True
sample_1,706,P0504,M3,49.861,-0.139,True
sample_1,706,P0505,M3,49.893,-0.107,True
sample_1,706,P0506,M3,50.347,0.347,True
sample_1,706,P0507,M3,50.211,0.211,True
sample_1,706,P0508,M3,50.163,0.163,True
sample_1,706,P0509,M3,49.776,-0.224,True
sample_1,706,P0510,M3,48.985,-1.015,True
sample_1,706,P0511,M3,49.235,-0.765,True
sample_1,706,P0512,M3,50.907,0.907,True
sample_1,706,P0513,M3,49.862,-0.138,True
sample_1,706,P0514,M3,49.673,-0.327,True
sample_1,706,P0515,M3,48.956,-1.044,True
sample_1,706,P0516,M3,49.624,-0.376,True
sample_1,706,P0517,M3,50.587,0.587,True
sample_1,706,P0518,M3,49.715,-0.285,True
sample_1,706,P0519,M3,49.918,-0.082,True
sample_1,706,P0520,M3,48.725,-1.275,True
sample_1,706,P0521,M3,49.863,-0.137,True
sample_1,706,P0522,M3,49.406,-0.594,True
sample_1,706,P0523,M3,49.218,-0.782,True
sample_1,706,P0524,M3,49.916,-0.084,True
sample_1,706,P0525,M3,50.091,0.091,True
sample_1,706,P0526,M3,50.156,0.156,True
sample_1,706,P0527,M3,49.737,-0.263,True
sample_1,706,P0528,M3,49.017,-0.983,True
sample_1,706,P0529,M3,48.516,-1.484,True
sample_1,706,P0530,M3,50.368,0.368,True
sample_1,706,P0531,M3,50.25,0.25,True
sample_1,706,P0532,M3,50.077,0.077,True
sample_1,706,P0533,M3,48.85,-1.15,True
sample_1,706,P0534,M3,49.893,-0.107,True
sample_1,706,P0535,M3,50.028,0.028,True
sample_1,706,P0536,M3,49.853,-0.147,True
sample_1,706,P0537,M3,49.94,-0.06,True
sample_1,706,P0538,M3,49.753,-0.247,True
sample_1,706,P0539,M3,50.067,0.067,True
sample_1,706,P0540,M3,49.345,-0.655,True
sample_2,1706,P0001,M1,49.974,-0.026,True
sample_2,1706,P0002,M1,49.66,-0.34,True
sample_2,1706,P0003,M1,49.518,-0.482,True
sample_2,1706,P0004,M1,49.313,-0.687,True
sample_2,1706,P0005,M1,50.051,0.051,True
sample_2,1706,P0006,M1,49.752,-0.248,True
sample_2,1706,P0007,M1,49.836,-0.164,True
sample_2,1706,P0008,M1,49.51,-0.49,True
sample_2,1706,P0009,M1,49.777,-0.223,True
sample_2,1706,P0010,M1,50.14,0.14,True
sample_2,1706,P0011,M1,50.245,0.245,True
sample_2,1706,P0012,M1,49.876,-0.124,True
sample_2,1706,P0013,M1,49.994,-0.006,True
sample_2,1706,P0014,M1,49.56,-0.44,True
sample_2,1706,P0015,M1,49.823,-0.177,True
sample_2,1706,P0016,M1,50.782,0.782,True
sample_2,1706,P0017,M1,49.227,-0.773,True
sample_2,1706,P0018,M1,50.963,0.963,True
sample_2,1706,P0019,M1,50.98,0.98,True
sample_2,1706,P0020,M1,49.636,-0.364,True
sample_2,1706,P0021,M1,49.553,-0.447,True
sample_2,1706,P0022,M1,49.111,-0.889,True
sample_2,1706,P0023,M1,49.976,-0.024,True
sample_2,1706,P0024,M1,50.646,0.646,True
sample_2,1706,P0025,M1,50.05,0.05,True
sample_2,1706,P0026,M1,49.939,-0.061,True
sample_2,1706,P0027,M1,49.437,-0.563,True
