sample_id,seed,customer_id,age_group,channel,satisfaction,renewed
sample_1,705,C0078,41-60,mobile_app,4,True
sample_1,705,C0079,41-60,mobile_app,3,True
sample_1,705,C0080,26-40,mobile_app,3,True
sample_1,705,C0081,26-40,mobile_app,3,False
sample_1,705,C0082,60+,website,3,False
sample_1,705,C0083,18-25,website,3,True
sample_1,705,C0084,18-25,website,5,True
sample_1,705,C0085,60+,website,4,True
sample_1,705,C0086,26-40,mobile_app,4,True
sample_1,705,C0087,41-60,mobile_app,4,True
sample_1,705,C0088,26-40,mobile_app,4,True
sample_1,705,C0089,26-40,mobile_app,4,True
sample_1,705,C0090,26-40,mobile_app,3,True
sample_1,705,C0091,26-40,phone,3,True
sample_1,705,C0092,26-40,mobile_app,3,True
sample_1,705,C0093,41-60,website,5,True
sample_1,705,C0094,18-25,website,3,True
sample_1,705,C0095,26-40,website,2,True
sample_1,705,C0096,41-60,mobile_app,5,True
sample_1,705,C0097,41-60,mobile_app,2,True
sample_1,705,C0098,41-60,website,4,True
sample_1,705,C0099,41-60,mobile_app,5,True
sample_1,705,C0100,26-40,mobile_app,5,True
sample_1,705,C0101,41-60,website,4,True
sample_1,705,C0102,41-60,website,2,False
sample_1,705,C0103,41-60,website,4,False
sample_1,705,C0104,26-40,website,3,False
sample_1,705,C0105,26-40,website,5,True
sample_1,705,C0106,26-40,mobile_app,5,True
sample_1,705,C0107,26-40,phone,3,False
sample_1,705,C0108,41-60,website,3,False
sample_1,705,C0109,26-40,phone,3,False
sample_1,705,C0110,26-40,website,3,True
sample_1,705,C0111,41-60,mobile_app,4,True
sample_1,705,C0112,18-25,mobile_app,5,True
sample_1,705,C0113,26-40,website,4,True
sample_1,705,C0114,26-40,mobile_app,4,True
sample_1,705,C0115,41-60,mobile_app,5,True
sample_1,705,C0116,26-40,phone,4,False
sample_1,705,C0117,18-25,website,3,True
sample_1,705,C0118,26-40,website,5,True
sample_1,705,C0119,60+,mobile_app,4,True
sample_1,705,C0120,41-60,mobile_app,5,True
sample_1,705,C0121,41-60,website,4,False
sample_1,705,C0122,41-60,website,3,True
sample_1,705,C0123,18-25,mobile_app,2,True
sample_1,705,C0124,26-40,website,4,True
sample_1,705,C0125,60+,website,4,False
sample_1,705,C0126,18-25,mobile_app,3,True
sample_1,705,C0127,18-25,website,3,True
sample_1,705,C0128,18-25,website,3,False
sample_1,705,C0129,18-25,mobile_app,5,True
sample_1,705,C0130,26-40,website,4,True
sample_1,705,C0131,26-40,website,4,False
sample_1,705,C0132,18-25,phone,3,True
sample_1,705,C0133,26-40,website,2,False
sample_1,705,C0134,26-40,website,3,True
sample_1,705,C0135,60+,phone,2,True
sample_1,705,C0136,26-40,website,4,True
sample_1,705,C0137,26-40,website,3,True
sample_1,705,C0138,41-60,website,4,True
sample_1,705,C0139,41-60,mobile_app,5,True
sample_1,705,C0140,26-40,website,4,True
sample_1,705,C0141,26-40,phone,4,True
sample_1,705,C0142,41-60,mobile_app,3,False
sample_1,705,C0143,26-40,mobile_app,3,True
sample_1,705,C0144,26-40,mobile_app,4,True
sample_1,705,C0145,41-60,website,3,False
sample_1,705,C0146,41-60,website,3,True
sample_1,705,C0147,18-25,website,5,True
sample_1,705,C0148,18-25,mobile_app,3,False
sample_1,705,C0149,41-60,website,3,True
sample_1,705,C0150,41-60,website,4,True
sample_1,705,C0151,41-60,website,4,True
sample_1,705,C0152,60+,phone,4,True
sample_1,705,C0153,41-60,website,3,True
sample_1,705,C0154,41-60,mobile_app,4,True
sample_1,705,C0155,26-40,mobile_app,4,True
sample_1,705,C0156,41-60,mobile_app,4,True
sample_1,705,C0157,18-25,website,5,True
sample_1,705,C0158,26-40,website,5,True
sample_1,705,C0159,60+,website,3,True
sample_1,705,C0160,18-25,website,4,True
sample_1,705,C0161,18-25,website,3,True
sample_1,705,C0162,41-60,website,4,True
sample_1,705,C0163,41-60,website,3,True
sample_1,705,C0164,41-60,mobile_app,3,True
sample_1,705,C0165,41-60,mobile_app,3,False
sample_1,705,C0166,41-60,website,2,False
sample_1,705,C0167,26-40,mobile_app,4,True
sample_1,705,C0168,26-40,website,5,True
sample_1,705,C0169,26-40,website,4,True
sample_1,705,C0170,26-40,website,4,True
sample_1,705,C0171,18-25,phone,2,False
sample_1,705,C0172,41-60,mobile_app,3,True
sample_1,705,C0173,26-40,phone,4,True
sample_1,705,C0174,26-40,phone,3,False
sample_1,705,C0175,60+,mobile_app,5,True
sample_1,705,C0176,41-60,mobile_app,3,False
sample_1,705,C0177,18-25,website,4,True
sample_1,705,C0178,18-25,mobile_app,3,True
sample_1,705,C0179,18-25,mobile_app,4,True
sample_1,705,C0180,18-25,website,3,True
sample_1,705,C0181,18-25,website,4,True
sample_1,705,C0182,26-40,mobile_app,4,True
sample_1,705,C0183,26-40,website,3,False
sample_1,705,C0184,18-25,mobile_app,3,True
sample_1,705,C0185,26-40,website,4,True
sample_1,705,C0186,60+,phone,5,False
sample_1,705,C0187,26-40,mobile_app,4,True
sample_1,705,C0188,26-40,website,4,True
sample_1,705,C0189,26-40,mobile_app,5,True
sample_1,705,C0190,26-40,mobile_app,5,True
sample_1,705,C0191,26-40,mobile_app,3,True
sample_1,705,C0192,60+,phone,4,True
sample_1,705,C0193,41-60,phone,3,True
sample_1,705,C0194,26-40,website,4,False
sample_1,705,C0195,41-60,phone,3,False
sample_1,705,C0196,18-25,website,3,False
sample_1,705,C0197,41-60,mobile_app,4,True
sample_1,705,C0198,26-40,website,4,True
sample_1,705,C0199,41-60,phone,2,True
sample_1,705,C0200,41-60,mobile_app,3,True
sample_1,705,C0201,60+,mobile_app,5,True
sample_1,705,C0202,26-40,mobile_app,3,True
sample_1,705,C0203,41-60,mobile_app,3,True
sample_1,705,C0204,26-40,website,1,True
sample_1,705,C0205,26-40,mobile_app,3,True
sample_1,705,C0206,26-40,mobile_app,4,False
sample_1,705,C0207,41-60,mobile_app,3,True
sample_1,705,C0208,60+,mobile_app,2,False
sample_1,705,C0209,60+,mobile_app,4,False
sample_1,705,C0210,60+,phone,2,False
sample_1,705,C0211,41-60,website,3,True
sample_1,705,C0212,26-40,mobile_app,4,True
sample_1,705,C0213,26-40,mobile_app,3,True
sample_1,705,C0214,18-25,website,3,False
sample_1,705,C0215,18-25,mobile_app,3,True
sample_1,705,C0216,41-60,website,4,True
sample_1,705,C0217,18-25,website,4,True
sample_1,705,C0218,41-60,website,3,True
sample_1,705,C0219,26-40,phone,3,False
sample_1,705,C0220,26-40,website,4,True
sample_1,705,C0221,26-40,mobile_app,5,True
sample_1,705,C0222,18-25,website,5,True
sample_1,705,C0223,26-40,mobile_app,4,True
sample_1,705,C0224,26-40,phone,3,True
sample_1,705,C0225,60+,website,3,True
sample_1,705,C0226,41-60,phone,3,False
sample_1,705,C0227,41-60,website,3,False
sample_1,705,C0228,60+,mobile_app,5,True
sample_1,705,C0229,41-60,mobile_app,5,True
sample_1,705,C0230,18-25,phone,2,False
sample_1,705,C0231,18-25,website,4,True
sample_1,705,C0232,60+,website,3,True
sample_1,705,C0233,26-40,website,4,True
sample_1,705,C0234,26-40,mobile_app,3,True
sample_1,705,C0235,41-60,mobile_app,3,True
sample_1,705,C0236,26-40,website,5,True
sample_1,705,C0237,26-40,website,5,True
sample_1,705,C0238,41-60,mobile_app,3,False
sample_1,705,C0239,41-60,website,2,True
sample_1,705,C0240,41-60,phone,4,True
sample_1,705,C0241,26-40,mobile_app,2,False
sample_1,705,C0242,41-60,phone,3,False
sample_1,705,C0243,26-40,website,3,False
sample_1,705,C0244,60+,phone,2,True
sample_1,705,C0245,18-25,phone,5,True
sample_1,705,C0246,60+,website,3,False
sample_1,705,C0247,26-40,phone,3,True
sample_1,705,C0248,41-60,mobile_app,5,True
sample_1,705,C0249,26-40,website,4,True
sample_1,705,C0250,41-60,mobile_app,3,False
sample_1,705,C0251,41-60,website,5,True
sample_1,705,C0252,26-40,mobile_app,3,True
sample_1,705,C0253,26-40,mobile_app,4,True
sample_1,705,C0254,41-60,website,5,True
sample_1,705,C0255,26-40,website,4,False
sample_1,705,C0256,41-60,phone,3,False
sample_1,705,C0257,26-40,website,4,True
sample_1,705,C0258,60+,phone,2,False
sample_1,705,C0259,26-40,website,2,False
sample_1,705,C0260,26-40,website,3,True
sample_1,705,C0261,18-25,website,4,True
sample_1,705,C0262,41-60,phone,3,False
sample_1,705,C0263,26-40,website,5,True
sample_1,705,C0264,26-40,website,4,False
sample_1,705,C0265,26-40,website,4,True
sample_1,705,C0266,18-25,website,1,True
sample_1,705,C0267,41-60,mobile_app,3,True
sample_1,705,C0268,41-60,mobile_app,3,True
sample_1,705,C0269,60+,mobile_app,4,True
sample_1,705,C0270,18-25,website,2,False
sample_1,705,C0271,26-40,website,5,True
sample_1,705,C0272,26-40,mobile_app,5,True
sample_1,705,C0273,41-60,phone,5,True
sample_1,705,C0274,26-40,mobile_app,4,True
sample_1,705,C0275,26-40,phone,3,False
sample_1,705,C0276,41-60,mobile_app,5,True
sample_1,705,C0277,18-25,website,4,True
sample_1,705,C0278,26-40,mobile_app,5,True
sample_1,705,C0279,41-60,website,3,True
sample_1,705,C0280,26-40,website,2,True
sample_1,705,C0281,26-40,mobile_app,3,True
sample_1,705,C0282,41-60,mobile_app,4,True
sample_1,705,C0283,18-25,mobile_app,5,True
sample_1,705,C0284,41-60,website,4,False
sample_1,705,C0285,18-25,mobile_app,4,True
sample_1,705,C0286,26-40,website,3,True
sample_1,705,C0287,41-60,phone,3,False
sample_1,705,C0288,41-60,mobile_app,4,True
sample_1,705,C0289,18-25,phone,2,False
sample_1,705,C0290,26-40,website,4,True
sample_1,705,C0291,26-40,website,3,True
sample_1,705,C0292,41-60,mobile_app,3,True
sample_1,705,C0293,26-40,mobile_app,4,True
sample_1,705,C0294,60+,mobile_app,3,True
sample_1,705,C0295,60+,website,3,True
sample_1,705,C0296,41-60,website,3,True
sample_1,705,C0297,26-40,phone,3,True
sample_1,705,C0298,26-40,mobile_app,4,True
sample_1,705,C0299,41-60,website,2,True
sample_1,705,C0300,18-25,website,3,False
sample_1,705,C0301,18-25,website,3,True
sample_1,705,C0302,41-60,mobile_app,3,True
sample_1,705,C0303,26-40,mobile_app,4,True
sample_1,705,C0304,26-40,website,3,True
sample_1,705,C0305,26-40,phone,1,True
sample_1,705,C0306,41-60,website,3,True
sample_1,705,C0307,26-40,mobile_app,3,True
sample_1,705,C0308,18-25,phone,4,True
sample_1,705,C0309,26-40,mobile_app,4,True
sample_1,705,C0310,18-25,mobile_app,4,True
sample_1,705,C0311,60+,mobile_app,4,False
sample_1,705,C0312,41-60,mobile_app,4,True
sample_1,705,C0313,60+,mobile_app,4,True
sample_1,705,C0314,60+,phone,3,True
sample_1,705,C0315,18-25,mobile_app,2,True
sample_1,705,C0316,60+,mobile_app,3,False
sample_1,705,C0317,26-40,mobile_app,3,True
sample_1,705,C0318,60+,mobile_app,4,True
sample_1,705,C0319,60+,mobile_app,4,True
sample_1,705,C0320,26-40,website,3,False
sample_1,705,C0321,18-25,website,3,True
sample_1,705,C0322,26-40,website,5,True
sample_1,705,C0323,41-60,phone,2,False
sample_1,705,C0324,26-40,phone,4,False
sample_1,705,C0325,26-40,mobile_app,4,True
sample_1,705,C0326,26-40,phone,4,False
sample_1,705,C0327,60+,mobile_app,5,False
sample_1,705,C0328,26-40,website,4,True
sample_1,705,C0329,26-40,phone,4,True
sample_1,705,C0330,26-40,mobile_app,3,True
sample_1,705,C0331,18-25,website,3,True
sample_1,705,C0332,41-60,mobile_app,4,True
sample_1,705,C0333,41-60,website,4,True
sample_1,705,C0334,18-25,website,4,True
sample_1,705,C0335,60+,mobile_app,5,True
sample_1,705,C0336,26-40,website,4,True
sample_1,705,C0337,26-40,mobile_app,4,True
sample_1,705,C0338,41-60,website,3,False
sample_1,705,C0339,41-60,phone,4,True
sample_1,705,C0340,41-60,website,4,True
sample_1,705,C0341,18-25,website,5,False
sample_1,705,C0342,41-60,mobile_app,5,True
sample_1,705,C0343,18-25,mobile_app,5,True
sample_1,705,C0344,26-40,mobile_app,3,False
sample_1,705,C0345,41-60,website,4,True
sample_1,705,C0346,41-60,mobile_app,5,True
sample_1,705,C0347,18-25,website,5,True
sample_1,705,C0348,41-60,mobile_app,4,True
sample_1,705,C0349,41-60,website,4,True
sample_1,705,C0350,41-60,website,3,True
sample_1,705,C0351,18-25,phone,3,False
sample_1,705,C0352,41-60,mobile_app,5,True
sample_1,705,C0353,41-60,website,4,True
sample_1,705,C0354,26-40,website,2,True
sample_1,705,C0355,26-40,website,4,True
sample_1,705,C0356,41-60,website,5,True
sample_1,705,C0357,41-60,website,3,True
sample_1,705,C0358,60+,phone,5,False
sample_1,705,C0359,18-25,website,3,True
sample_1,705,C0360,26-40,website,3,True
sample_1,705,C0361,18-25,mobile_app,4,False
sample_1,705,C0362,26-40,mobile_app,4,True
sample_1,705,C0363,41-60,phone,4,True
sample_1,705,C0364,41-60,mobile_app,3,False
sample_1,705,C0365,26-40,mobile_app,5,True
sample_1,705,C0366,60+,phone,3,True
sample_1,705,C0367,41-60,mobile_app,4,False
sample_1,705,C0368,41-60,website,3,False
sample_1,705,C0369,60+,website,4,True
sample_1,705,C0370,26-40,website,3,True
sample_1,705,C0371,60+,website,5,True
sample_1,705,C0372,26-40,mobile_app,4,True
sample_1,705,C0373,26-40,phone,4,True
sample_1,705,C0374,60+,website,1,False
sample_1,705,C0375,26-40,phone,3,False
sample_1,705,C0376,26-40,website,3,True
sample_1,705,C0377,26-40,website,3,True
sample_1,705,C0378,26-40,mobile_app,5,True
sample_1,705,C0379,26-40,website,4,True
sample_1,705,C0380,41-60,website,4,True
sample_1,705,C0381,41-60,phone,4,False
sample_1,705,C0382,26-40,website,3,False
sample_1,705,C0383,26-40,phone,3,True
sample_1,705,C0384,26-40,mobile_app,3,False
sample_1,705,C0385,18-25,website,5,True
sample_1,705,C0386,60+,mobile_app,3,True
sample_1,705,C0387,26-40,website,3,True
sample_1,705,C0388,41-60,phone,5,True
sample_1,705,C0389,18-25,website,5,True
sample_1,705,C0390,26-40,website,5,True
sample_1,705,C0391,26-40,website,5,True
sample_1,705,C0392,26-40,website,3,True
sample_1,705,C0393,60+,phone,3,False
sample_1,705,C0394,41-60,website,3,False
sample_1,705,C0395,18-25,website,5,True
sample_1,705,C0396,26-40,website,3,False
sample_1,705,C0397,41-60,website,2,True
sample_1,705,C0398,26-40,mobile_app,3,True
sample_1,705,C0399,26-40,website,5,True
sample_1,705,C0400,18-25,mobile_app,5,True
sample_1,705,C0401,41-60,website,5,True
sample_1,705,C0402,41-60,mobile_app,5,True
sample_1,705,C0403,18-25,website,4,True
sample_1,705,C0404,26-40,mobile_app,4,True
sample_1,705,C0405,18-25,phone,3,True
sample_1,705,C0406,26-40,website,3,True
sample_1,705,C0407,41-60,mobile_app,3,True
sample_1,705,C0408,41-60,mobile_app,3,True
sample_1,705,C0409,26-40,mobile_app,4,True
sample_1,705,C0410,26-40,mobile_app,2,True
sample_1,705,C0411,18-25,website,4,False
sample_1,705,C0412,60+,website,3,False
sample_1,705,C0413,26-40,website,4,False
sample_1,705,C0414,26-40,website,3,True
sample_1,705,C0415,26-40,website,4,True
sample_1,705,C0416,26-40,website,3,False
sample_1,705,C0417,26-40,mobile_app,4,True
sample_1,705,C0418,41-60,mobile_app,4,True
sample_1,705,C0419,41-60,website,1,False
sample_1,705,C0420,18-25,website,4,True
sample_1,705,C0421,18-25,website,3,True
sample_1,705,C0422,18-25,website,3,True
sample_1,705,C0423,18-25,website,4,True
sample_1,705,C0424,18-25,website,4,True
sample_1,705,C0425,18-25,mobile_app,4,True
sample_1,705,C0426,18-25,website,5,True
sample_1,705,C0427,41-60,mobile_app,4,False
sample_1,705,C0428,26-40,mobile_app,4,True
sample_1,705,C0429,26-40,website,5,True
sample_1,705,C0430,26-40,website,3,True
sample_1,705,C0431,18-25,website,5,True
sample_1,705,C0432,41-60,mobile_app,2,True
sample_1,705,C0433,18-25,website,4,True
sample_1,705,C0434,26-40,website,3,True
sample_1,705,C0435,60+,phone,3,True
sample_1,705,C0436,18-25,website,3,True
sample_1,705,C0437,18-25,website,3,True
sample_1,705,C0438,41-60,website,3,False
sample_1,705,C0439,26-40,mobile_app,4,False
sample_1,705,C0440,41-60,mobile_app,4,True
sample_1,705,C0441,26-40,website,4,True
sample_1,705,C0442,26-40,website,3,False
sample_1,705,C0443,41-60,mobile_app,4,True
sample_1,705,C0444,41-60,phone,2,True
sample_1,705,C0445,26-40,website,4,True
sample_1,705,C0446,41-60,website,3,True
sample_1,705,C0447,41-60,website,4,False
sample_1,705,C0448,60+,mobile_app,3,True
sample_1,705,C0449,26-40,website,4,True
sample_1,705,C0450,26-40,mobile_app,5,True
sample_1,705,C0451,26-40,mobile_app,5,True
sample_1,705,C0452,26-40,phone,4,True
sample_1,705,C0453,41-60,mobile_app,3,True
sample_1,705,C0454,41-60,website,4,True
sample_1,705,C0455,26-40,mobile_app,4,True
sample_1,705,C0456,26-40,website,3,True
sample_1,705,C0457,26-40,website,3,False
sample_1,705,C0458,41-60,website,3,True
sample_1,705,C0459,18-25,mobile_app,5,True
sample_1,705,C0460,26-40,website,2,False
sample_1,705,C0461,18-25,phone,3,False
sample_1,705,C0462,18-25,mobile_app,5,True
sample_1,705,C0463,26-40,website,5,True
sample_1,705,C0464,26-40,website,3,True
sample_1,705,C0465,41-60,website,4,False
sample_1,705,C0466,26-40,mobile_app,4,False
sample_1,705,C0467,18-25,website,4,False
sample_1,705,C0468,18-25,mobile_app,3,True
sample_1,705,C0469,18-25,website,3,False
sample_1,705,C0470,26-40,mobile_app,2,True
sample_1,705,C0471,41-60,website,3,True
sample_1,705,C0472,26-40,website,5,True
sample_1,705,C0473,41-60,mobile_app,4,True
sample_1,705,C0474,26-40,mobile_app,5,True
sample_1,705,C0475,18-25,phone,2,False
sample_1,705,C0476,41-60,website,4,False
sample_1,705,C0477,26-40,phone,4,True
sample_1,705,C0478,26-40,website,5,True
sample_1,705,C0479,26-40,website,3,True
sample_1,705,C0480,18-25,mobile_app,4,True
sample_1,705,C0481,41-60,phone,2,True
sample_1,705,C0482,41-60,website,4,True
sample_1,705,C0483,26-40,website,3,True
sample_1,705,C0484,41-60,website,4,False
sample_1,705,C0485,41-60,mobile_app,4,True
sample_1,705,C0486,26-40,phone,2,False
sample_1,705,C0487,60+,phone,4,False
sample_1,705,C0488,26-40,website,5,True
sample_1,705,C0489,26-40,website,3,False
sample_1,705,C0490,41-60,mobile_app,4,True
sample_1,705,C0491,26-40,mobile_app,3,False
sample_1,705,C0492,18-25,mobile_app,3,True
sample_1,705,C0493,26-40,website,4,True
sample_1,705,C0494,41-60,phone,2,False
sample_1,705,C0495,26-40,phone,4,True
sample_1,705,C0496,41-60,mobile_app,5,True
sample_1,705,C0497,26-40,website,2,False
sample_1,705,C0498,26-40,mobile_app,5,True
sample_1,705,C0499,41-60,website,3,False
sample_1,705,C0500,26-40,website,5,True
sample_1,705,C0501,41-60,phone,3,True
sample_1,705,C0502,26-40,website,4,False
sample_1,705,C0503,26-40,website,5,True
sample_1,705,C0504,41-60,website,3,True
sample_1,705,C0505,26-40,phone,3,False
sample_1,705,C0506,41-60,website,4,True
sample_1,705,C0507,26-40,phone,5,True
sample_1,705,C0508,41-60,website,4,True
sample_1,705,C0509,26-40,mobile_app,4,True
sample_1,705,C0510,26-40,phone,4,True
sample_1,705,C0511,41-60,mobile_app,3,False
sample_1,705,C0512,60+,website,2,False
sample_1,705,C0513,60+,mobile_app,3,False
sample_1,705,C0514,26-40,mobile_app,4,True
sample_1,705,C0515,41-60,website,4,False
sample_1,705,C0516,41-60,website,4,True
sample_1,705,C0517,41-60,phone,4,True
sample_1,705,C0518,41-60,website,2,True
sample_1,705,C0519,26-40,phone,3,False
sample_1,705,C0520,18-25,website,2,True
sample_1,705,C0521,18-25,website,3,False
sample_1,705,C0522,26-40,phone,3,False
sample_1,705,C0523,26-40,phone,5,True
sample_1,705,C0524,41-60,mobile_app,3,True
sample_1,705,C0525,26-40,mobile_app,3,True
sample_1,705,C0526,41-60,website,4,True
sample_1,705,C0527,26-40,mobile_app,3,True
sample_1,705,C0528,26-40,website,2,False
sample_1,705,C0529,26-40,mobile_app,4,True
sample_1,705,C0530,18-25,phone,4,True
sample_1,705,C0531,26-40,phone,4,True
sample_1,705,C0532,26-40,phone,2,True
sample_1,705,C0533,18-25,website,5,True
sample_1,705,C0534,41-60,mobile_app,3,True
sample_1,705,C0535,60+,mobile_app,4,False
sample_1,705,C0536,60+,mobile_app,5,True
sample_1,705,C0537,26-40,mobile_app,4,True
sample_1,705,C0538,26-40,mobile_app,4,True
sample_1,705,C0539,41-60,mobile_app,5,True
sample_1,705,C0540,26-40,mobile_app,4,True
sample_1,705,C0541,26-40,mobile_app,3,False
sample_1,705,C0542,26-40,website,3,True
sample_1,705,C0543,18-25,mobile_app,5,True
sample_1,705,C0544,26-40,website,4,True
sample_1,705,C0545,60+,mobile_app,5,True
sample_1,705,C0546,41-60,mobile_app,3,True
sample_1,705,C0547,18-25,website,4,True
sample_1,705,C0548,26-40,mobile_app,4,True
sample_1,705,C0549,18-25,mobile_app,5,True
sample_1,705,C0550,41-60,mobile_app,3,False
sample_1,705,C0551,41-60,mobile_app,3,True
sample_1,705,C0552,18-25,website,5,True
sample_1,705,C0553,18-25,website,3,True
sample_1,705,C0554,41-60,mobile_app,3,False
sample_1,705,C0555,41-60,website,4,False
sample_1,705,C0556,41-60,website,4,False
sample_1,705,C0557,60+,website,5,True
sample_1,705,C0558,26-40,mobile_app,4,True
sample_1,705,C0559,26-40,mobile_app,4,True
sample_1,705,C0560,18-25,website,2,True
sample_1,705,C0561,26-40,website,4,True
sample_1,705,C0562,18-25,website,4,True
sample_1,705,C0563,26-40,mobile_app,4,True
sample_1,705,C0564,41-60,mobile_app,4,True
sample_1,705,C0565,18-25,website,4,True
sample_1,705,C0566,60+,website,5,True
sample_1,705,C0567,41-60,mobile_app,2,True
sample_1,705,C0568,26-40,mobile_app,4,True
sample_1,705,C0569,26-40,website,4,True
sample_1,705,C0570,18-25,mobile_app,5,True
sample_1,705,C0571,26-40,website,3,False
sample_1,705,C0572,26-40,phone,5,True
sample_1,705,C0573,18-25,website,5,True
sample_1,705,C0574,26-40,mobile_app,5,True
sample_1,705,C0575,41-60,website,5,True
sample_1,705,C0576,26-40,mobile_app,3,True
sample_1,705,C0577,41-60,website,4,True
sample_1,705,C0578,26-40,phone,3,False
sample_1,705,C0579,41-60,website,4,True
sample_1,705,C0580,26-40,phone,3,True
sample_1,705,C0581,18-25,website,3,True
sample_1,705,C0582,26-40,website,5,False
sample_1,705,C0583,60+,website,2,False
sample_1,705,C0584,26-40,mobile_app,4,True
sample_1,705,C0585,41-60,website,3,True
sample_1,705,C0586,26-40,mobile_app,3,True
sample_1,705,C0587,26-40,website,4,True
sample_1,705,C0588,41-60,website,3,True
sample_1,705,C0589,26-40,mobile_app,4,True
sample_1,705,C0590,18-25,website,3,True
sample_1,705,C0591,26-40,mobile_app,3,True
sample_1,705,C0592,41-60,mobile_app,3,False
sample_1,705,C0593,18-25,website,3,False
sample_1,705,C0594,26-40,website,4,True
sample_1,705,C0595,26-40,website,4,True
sample_1,705,C0596,18-25,mobile_app,5,True
sample_1,705,C0597,18-25,website,4,True
sample_1,705,C0598,18-25,mobile_app,3,True
sample_1,705,C0599,41-60,website,3,False
sample_1,705,C0600,41-60,website,4,True
sample_2,1705,C0001,26-40,website,5,True
sample_2,1705,C0002,60+,website,3,True
sample_2,1705,C0003,18-25,website,4,True
sample_2,1705,C0004,60+,website,2,False
sample_2,1705,C0005,60+,mobile_app,4,True
sample_2,1705,C0006,26-40,mobile_app,4,True
sample_2,1705,C0007,18-25,website,3,True
sample_2,1705,C0008,26-40,mobile_app,4,False
sample_2,1705,C0009,41-60,website,4,True
sample_2,1705,C0010,60+,website,4,True
sample_2,1705,C0011,18-25,mobile_app,3,False
sample_2,1705,C0012,26-40,mobile_app,3,False
sample_2,1705,C0013,18-25,mobile_app,3,True
sample_2,1705,C0014,26-40,mobile_app,5,True
sample_2,1705,C0015,26-40,phone,2,False
sample_2,1705,C0016,26-40,phone,4,False
sample_2,1705,C0017,41-60,phone,2,False
